,date,Error
0,145489980,145489994
1,145490040,145490032
2,145490100,145490093
3,145490160,145490148
4,145490220,145490226
5,145490280,145490255
6,145490340,145490355
7,145490400,145490391
8,145490460,145490461
9,145490520,145490516
10,145490580,145490592
11,145490640,145490618
12,145490700,145490695
13,145490760,145490755
14,145490820,145490829
15,145490880,145490868
16,145490940,145490937
17,145491000,145490990
18,145491060,145491059
19,145491120,145491123
20,145491180,145491167
21,145491240,145491249
22,145491300,145491307
23,145491360,145491363
24,145491420,145491427
25,145491480,145491472
26,145491540,145491537
27,145491600,145491589
28,145491660,145491656
29,145491720,145491723
30,145491780,145491772
31,145491840,145491835
32,145491900,145491892
33,145491960,145491950
34,145492020,145492012
35,145492080,145492078
36,145492140,145492127
37,145492200,145492200
38,145492260,145492274
39,145492320,145492325
40,145492380,145492377
41,145492440,145492430
42,145492500,145492491
43,145492560,145492574
44,145492620,145492619
45,145492680,145492672
46,145492740,145492740
47,145492800,145492819
48,145492860,145492860
49,145492920,145492924
50,145492980,145492981
51,145493040,145493035
52,145493100,145493087
53,145493160,145493155
54,145493220,145493216
55,145493280,145493283
56,145493340,145493346
57,145493400,145493407
58,145493460,145493460
59,145493520,145493526
60,145493580,145493571
61,145493640,145493650
62,145493700,145493703
63,145493760,145493756
64,145493820,145493822
65,145493880,145493878
66,145493940,145493949
67,145494000,145494013
68,145494060,145494079
69,145494120,145494105
70,145494180,145494164
71,145494240,145494233
72,145494300,145494300
73,145494360,145494366
74,145494420,145494421
75,145494480,145494458
76,145494540,145494535
77,145494600,145494606
78,145494660,145494660
79,145494720,145494725
80,145494780,145494776
81,145494840,145494836
82,145494900,145494900
83,145494960,145494962
84,145495020,145495020
85,145495080,145495080
86,145495140,145495132
87,145495200,145495201
88,145495260,145495260
89,145495320,145495329
90,145495380,145495389
91,145495440,145495440
92,145495500,145495495
93,145495560,145495552
94,145495620,145495622
95,145495680,145495679
96,145495740,145495735
97,145495800,145495799
98,145495860,145495852
99,145495920,145495924
100,145495980,145495974
101,145496040,145496050
102,145496100,145496102
103,145496160,145496163
104,145496220,145496208
105,145496280,145496280
106,145496340,145496345
107,145496400,145496389
108,145496460,145496456
109,145496520,145496519
110,145496580,145496565
111,145496640,145496641
112,145496700,145496706
113,145496760,145496750
