,date,Error
0,12623904,12623908
1,12623940,12623939
2,12623976,12623976
3,12624012,12624019
4,12624048,12624053
5,12624084,12624076
6,12624120,12624120
7,12624156,12624152
8,12624192,12624188
9,12624228,12624227
10,12624264,12624261
11,12624300,12624303
12,12624336,12624336
13,12624372,12624369
14,12624408,12624407
15,12624444,12624442
16,12624480,12624483
17,12624516,12624511
18,12624552,12624550
19,12624588,12624580
20,12624624,12624608
21,12624660,12624660
22,12624696,12624696
23,12624732,12624725
24,12624768,12624775
25,12624804,12624793
26,12624840,12624837
27,12624876,12624872
28,12624912,12624915
29,12624948,12624951
30,12624984,12624981
31,12625020,12625018
32,12625056,12625048
33,12625092,12625079
34,12625128,12625123
35,12625164,12625161
36,12625200,12625202
37,12625236,12625238
38,12625272,12625267
39,12625308,12625303
40,12625344,12625335
41,12625380,12625369
42,12625416,12625404
43,12625452,12625457
44,12625488,12625482
45,12625524,12625518
46,12625560,12625550
47,12625596,12625596
48,12625632,12625620
49,12625668,12625663
50,12625704,12625696
51,12625740,12625738
52,12625776,12625770
53,12625812,12625803
54,12625848,12625844
55,12625884,12625883
56,12625920,12625917
57,12625956,12625954
58,12625992,12625985
59,12626028,12626023
60,12626064,12626057
61,12626100,12626095
62,12626136,12626128
63,12626172,12626160
64,12626208,12626205
65,12626244,12626238
66,12626280,12626268
67,12626316,12626315
68,12626352,12626344
69,12626388,12626385
70,12626424,12626424
71,12626460,12626457
72,12626496,12626497
73,12626532,12626522
74,12626568,12626567
75,12626604,12626597
76,12626640,12626632
77,12626676,12626670
78,12626712,12626707
79,12626748,12626745
80,12626784,12626775
81,12626820,12626820
82,12626856,12626855
83,12626892,12626881
84,12626928,12626931
85,12626964,12626969
86,12627000,12627001
87,12627036,12627032
88,12627072,12627063
89,12627108,12627109
90,12627144,12627138
91,12627180,12627182
92,12627216,12627214
93,12627252,12627252
94,12627288,12627286
95,12627324,12627324
96,12627360,12627357
97,12627396,12627400
98,12627432,12627429
99,12627468,12627467
100,12627504,12627509
101,12627540,12627530
102,12627576,12627566
103,12627612,12627612
104,12627648,12627639
105,12627684,12627689
106,12627720,12627714
107,12627756,12627749
108,12627792,12627797
109,12627828,12627831
110,12627864,12627869
111,12627900,12627900
112,12627936,12627928
113,12627972,12627977
114,12628008,12628003
115,12628044,12628044
116,12628080,12628080
117,12628116,12628112
118,12628152,12628152
119,12628188,12628188
120,12628224,12628222
121,12628260,12628251
122,12628296,12628294
123,12628332,12628334
